participant,IMOT_1,IMOT_2,IMOT_3,IMOT_4,RIS_1,RIS_2,RIS_3,RIS_4,RIS_5,RIS_6,imotris_F1_score,imotris_F2_Score,imotris_score,correct_burger_apprentissage,correct_burger_difficile,correct_burger_difficile_assistance,correct_burger_facile,correct_burger_facile_assistance,total_correct_burger_apprentissage,total_correct_burger_difficile,total_correct_burger_difficile_assistance,total_correct_burger_facile,total_correct_burger_facile_assistance,score_sa,score_aa,ATI_1,ATI_2,ATI_3,ATI_4,ATI_5,ATI_6,ATI_7,ATI_8,ATI_9,ati_score,APTT_1,APTT_2,APTT_3,APTT_4,APTT_5,APTT_6,aptt_score
540kw,2,1,1,2,1,3,3,2,2,0,2.4,1,1.7,1,0.6,0.7,1,1,1,0.95,0.9833333333333334,1,1,0.8,0.85,5,5,5,4,4,4,4,5,5,4.555555555555555,3,1,3,3,3,3,2.6666666666666665
2jjqz,3,1,1,1,3,3,3,1,3,1,2.6,1,1.8,0.6,0,0.2,0,1,0.9666666666666667,0.6166666666666667,0.95,0.7666666666666667,1,0,0.6,3,4,2,4,5,4,4,3,4,3.6666666666666665,3,1,1,3,3,3,2.3333333333333335
bxoke,3,2,1,2,2,3,3,3,3,2,3,2,2.5,1,0.6,0.8,1,0.9,1,0.9333333333333333,0.9833333333333334,1,0.9833333333333334,0.8,0.8500000000000001,5,4,1,3,3,0,2,1,4,2.5555555555555554,4,4,4,3,3,3,3.5
4lqe6,2,0,2,0,0,3,2,0,3,0,2,0,1,0.9,1,1,1,0.9,0.9833333333333334,1,1,1,0.9833333333333334,1,0.95,1,3,2,3,1,4,3,4,4,2.7777777777777777,2,2,3,2,2,2,2.1666666666666665
ladbr,3,3,1,3,3,4,3,4,4,3,3.6,3,3.3,0.2,0,0.7,0.10000000000000002,0.6,0.8,0.6,0.9333333333333333,0.8333333333333334,0.9666666666666667,0.05000000000000001,0.6499999999999999,3,3,2,4,3,1,3,1,3,2.5555555555555554,2,2,3,2,2,2,2.1666666666666665
c4ljg,3,3,3,2,3,2,1,2,3,1,2.2,2,2.1,0.9,0.3,0.7,0.39999999999999997,0.8,0.9833333333333334,0.8333333333333334,0.9333333333333333,0.9166666666666667,0.9333333333333333,0.35,0.75,5,4,4,4,4,4,4,4,4,4.111111111111111,4,2,3,3,3,3,3
y1ea2,3,1,2,2,2,2,2,3,2,1,2.4,1.3333333333333333,1.8666666666666667,0.9,0.9,1,0.9,0.9,0.9666666666666667,0.9666666666666667,1,0.9833333333333334,0.9833333333333334,0.9,0.95,3,5,1,5,5,1,3,0,3,2.888888888888889,3,3,3,3,2,3,2.8333333333333335
8ttfy,2,1,1,1,1,2,2,2,2,1,2,1,1.5,0.9,0.3,0.8,0.8,0.9,0.9833333333333334,0.8666666666666667,0.9833333333333334,0.95,0.9833333333333334,0.55,0.8500000000000001,3,3,2,2,1,3,3,3,3,2.5555555555555554,2,1,1,2,2,2,1.6666666666666667
o4fg5,0,4,2,4,4,4,4,1,2,4,2.2,4,3.1,1,0.8,0.7,0.9,0.8,1,0.95,0.9166666666666666,0.9833333333333334,0.95,0.8500000000000001,0.75,4,4,4,4,3,4,3,4,4,3.7777777777777777,3,4,3,3,3,3,3.1666666666666665
gef8z,1,1,0,1,1,1,2,3,2,1,1.8,1,1.4,0.9,0,0.8,0.9,0.7,0.9833333333333334,0.85,0.9166666666666666,0.9833333333333334,0.9166666666666666,0.45,0.75,5,5,0,4,4,4,5,4,4,3.888888888888889,3,3,3,1,1,1,2
o5oln,0,0,1,0,0,1,2,0,0,0,0.6,0,0.3,0.9,0.8,0.8,0.9,0.7,0.9833333333333334,0.9666666666666667,0.9833333333333334,0.9833333333333334,0.95,0.8500000000000001,0.75,3,4,5,5,5,0,1,0,5,3.111111111111111,4,4,4,3,3,3,3.5
1ahe8,3,1,1,1,2,3,3,2,3,1,2.8,1,1.9,0.9,0.8,1,1,0.8,0.9666666666666667,0.9666666666666667,1,1,0.9666666666666667,0.9,0.9,4,4,0,3,3,4,5,4,3,3.3333333333333335,3,3,4,3,3,3,3.1666666666666665
bale2,3,3,1,2,3,3,3,3,3,3,3,2.6666666666666665,2.833333333333333,0.5,0.4,0.7,0.5,0.7,0.9166666666666666,0.8,0.9,0.9,0.9,0.45,0.7,3,5,1,5,5,4,5,0,5,3.6666666666666665,2,2,2,2,3,3,2.3333333333333335
z0x7l,0,0,0,0,1,1,1,3,2,0,1.4,0,0.7,1,0.3,0.6,0.9,1,1,0.8333333333333334,0.95,0.9833333333333334,1,0.6,0.8,0,1,1,2,0,1,1,0,3,1,2,1,2,2,2,0,1.5
npgo0,1,1,1,0,1,2,1,0,1,0,1,0.3333333333333333,0.6666666666666666,1,0.2,0.5,1,0.9,1,0.9166666666666667,0.9666666666666667,1,0.9833333333333334,0.6,0.7,3,3,2,3,3,3,4,3,3,3,2,2,2,2,2,2,2
oltda,0,0,2,0,0,0,0,0,0,0,0,0,0,0.10000000000000002,0,0.6,0,0.20000000000000004,0.48333333333333334,0.26666666666666666,0.9,0.36666666666666664,0.8666666666666667,0,0.4,3,3,2,4,4,4,3,2,4,3.2222222222222223,1,0,2,2,2,2,1.5
dvsby,3,1,1,0,0,3,3,2,4,0,3,0.3333333333333333,1.6666666666666667,0.9,0.6,0.9,0.9,0.8,0.9666666666666667,0.9166666666666666,0.9833333333333334,0.9833333333333334,0.9666666666666667,0.75,0.8500000000000001,3,5,4,4,4,2,1,3,1,3,2,3,4,2,3,2,2.6666666666666665
rntzd,3,0,1,1,2,1,3,3,4,1,2.8,0.6666666666666666,1.7333333333333332,0.9,0.3,0.7,0.7,0.9,0.9833333333333334,0.7166666666666667,0.9166666666666666,0.9666666666666667,0.9833333333333334,0.5,0.8,4,4,4,3,4,4,3,3,3,3.5555555555555554,3,1,3,3,3,3,2.6666666666666665
66v3b,3,1,1,0,0,3,2,4,3,0,3,0.3333333333333333,1.6666666666666667,0.8,0.8,0.7,1,0.9,0.95,0.9666666666666667,1,1,0.9833333333333334,0.9,0.8,5,4,4,5,4,5,5,4,4,4.444444444444445,2,3,3,1,2,3,2.3333333333333335
